emp_no,birth_date,first_name,last_name,title,from_date,to_date,salary
10194,1954-01-29,Josyula,Hofmeyr,Senior Staff,2002-02-14,9999-01-01,64941
10001,1953-09-02,Georgi,Facello,Senior Engineer,1986-06-26,9999-01-01,60117
10004,1954-05-01,Chirstian,Koblick,Senior Engineer,1995-12-01,9999-01-01,40054
10006,1953-04-20,Anneke,Preusig,Senior Engineer,1990-08-05,9999-01-01,40000
10009,1952-04-19,Sumant,Peac,Senior Engineer,1995-02-18,9999-01-01,60929
10018,1954-06-19,Kazuhide,Peha,Senior Engineer,1995-04-03,9999-01-01,55881
10019,1953-01-23,Lillian,Haddadi,Staff,1999-04-30,9999-01-01,44276
10020,1952-12-24,Mayuko,Warwick,Engineer,1997-12-30,9999-01-01,40000
10022,1952-07-08,Shahaf,Famili,Engineer,1999-09-03,9999-01-01,40000
10023,1953-09-29,Bojan,Montemayor,Engineer,1999-09-27,9999-01-01,47883
10026,1953-04-03,Yongqiao,Berztiss,Senior Engineer,2001-03-19,9999-01-01,47585
10035,1953-02-08,Alain,Chappelet,Senior Engineer,1996-09-05,9999-01-01,41538
10047,1952-06-29,Zvonko,Nyanchama,Senior Engineer,1998-03-31,9999-01-01,54982
10051,1953-07-28,Hidefumi,Caine,Senior Engineer,1998-10-15,9999-01-01,48817
10053,1954-09-13,Sanjiv,Zschoche,Senior Staff,1994-11-13,9999-01-01,67854
10057,1954-05-30,Ebbe,Callaway,Senior Engineer,2000-01-15,9999-01-01,49616
10058,1954-10-01,Berhard,McFarlin,Senior Staff,1988-04-25,9999-01-01,52787
10059,1953-09-19,Alejandro,McAlpine,Senior Staff,1991-06-26,9999-01-01,71218
10063,1952-08-06,Gino,Leonhardt,Senior Engineer,1989-04-08,9999-01-01,40000
10066,1952-11-13,Kwee,Schusler,Senior Engineer,1998-02-25,9999-01-01,69736
10067,1953-01-07,Claudi,Stavenow,Senior Engineer,1996-03-03,9999-01-01,44642
10072,1952-05-15,Hironoby,Sidou,Senior Engineer,1995-05-21,9999-01-01,40000
10076,1952-06-13,Erez,Ritzmann,Senior Engineer,1996-07-15,9999-01-01,47319
10088,1954-02-25,Jungsoon,Syrzycki,Senior Staff,1993-09-02,9999-01-01,65957
10096,1954-09-16,Jayson,Mandell,Engineer,1999-01-23,9999-01-01,61395
